Departure,Return,Departure_station_id,Departure_station_name,Return_station_id,Return_station_name,Covered_distance_m,Duration_sec
2021-07-31T23:59:59,2021-08-01T00:09:15,113,Pasilan asema,078,Messeniuksenkatu,1602,553
2021-07-31T23:59:55,2021-08-01T00:08:45,135,Velodrominrinne,115,Venttiilikuja,1307,532
2021-07-31T23:59:55,2021-08-01T00:03:24,258,Abraham Wetterin tie,260,Herttoniemi (M),820,205
2021-07-31T23:59:47,2021-08-01T00:05:52,122,Lintulahdenkatu,016,Liisanpuistikko,1298,369
2021-07-31T23:59:33,2021-08-01T00:14:49,126,Kalasatama (M),255,Laivalahden puistotie,3875,912
2021-07-31T23:59:28,2021-08-01T00:06:23,115,Venttiilikuja,043,Karhupuisto,1482,410
2021-07-31T23:59:22,2021-08-01T00:06:14,347,Sateenkaarentie,344,Puistolan asema,1698,410
2021-07-31T23:59:11,2021-08-01T00:06:11,347,Sateenkaarentie,344,Puistolan asema,1658,416
2021-07-31T23:59:01,2021-08-01T00:09:56,021,Töölönlahdenkatu,058,Lauttasaarensilta,3150,649
2021-07-31T23:58:35,2021-08-01T00:23:48,087,Kustaankatu,095,Munkkiniemen aukio,4835,1509
2021-07-31T23:58:30,2021-08-01T00:03:09,121,Vilhonvuorenkatu,404,Sompasaari,865,273
2021-07-31T23:58:28,2021-08-01T00:07:44,120,Mäkelänkatu,141,Intiankatu,2119,552
2021-07-31T23:58:13,2021-08-01T00:14:14,161,Eteläesplanadi,031,Marian sairaala,2352,959
2021-07-31T23:58:13,2021-08-01T00:02:55,259,Petter Wetterin tie,254,Agnetankuja,880,277
2021-07-31T23:58:07,2021-08-01T00:00:18,581,Niittykumpu (M),581,Niittykumpu (M),14,126
2021-07-31T23:58:00,2021-08-01T00:23:16,087,Kustaankatu,058,Lauttasaarensilta,5954,1513
2021-07-31T23:57:38,2021-08-01T00:13:42,161,Eteläesplanadi,031,Marian sairaala,2450,959
2021-07-31T23:57:32,2021-08-01T00:05:06,019,Rautatientori / itä,076,Olympiastadion,2199,452
2021-07-31T23:57:25,2021-08-01T00:20:46,078,Messeniuksenkatu,140,Verkatehtaanpuisto,5131,1397
2021-07-31T23:57:18,2021-08-01T00:23:23,064,Tyynenmerenkatu,202,Merihaka,4925,1564
2021-07-31T23:57:15,2021-08-01T00:37:27,123,Näkinsilta,019,Rautatientori / itä,1813,2408
2021-07-31T23:57:10,2021-08-01T00:28:43,123,Näkinsilta,019,Rautatientori / itä,1852,1888
2021-07-31T23:56:56,2021-08-01T00:14:07,161,Eteläesplanadi,031,Marian sairaala,2289,1027
2021-07-31T23:56:51,2021-08-01T00:21:34,120,Mäkelänkatu,094,Laajalahden aukio,5646,1479
2021-07-31T23:56:48,2021-08-01T00:03:53,116,Linnanmäki,113,Pasilan asema,1080,422
2021-07-31T23:56:38,2021-08-01T00:14:58,131,Elimäenkatu,035,Cygnaeuksenkatu,3755,1096
2021-07-31T23:56:24,2021-08-01T00:12:36,098,Ulvilantie,727,Ratsutori,4496,967
2021-07-31T23:56:24,2021-07-31T23:57:29,259,Petter Wetterin tie,259,Petter Wetterin tie,32,61
2021-07-31T23:56:00,2021-08-01T00:23:33,093,Torpanranta,098,Ulvilantie,5214,1652
2021-07-31T23:55:40,2021-07-31T23:59:50,252,Humalniementie,254,Agnetankuja,1214,244
